"STATE","TAXRATE"
"AK",0
"AL",0.04
"AR",0
"AZ",0.05
"CA",0.0725
"CO",0.03
"CT",0.06
"DE",0
"FL",0.06
"GA",0.04
"HI",0.04
"IA",0.05
"ID",0.05
"IL",0.0625
"IN",0.05
"KS",0.069
"KY",0.06
"LA",0.04
"MA",0.05
"MD",0.05
"ME",0.06
"MI",0.05
"MN",0.065
"MO",0.04225
"MS",0.07
"MT",0
"NC",0.06
"ND",0.05
"NE",0.05
"NH",0
"NJ",0.06
"NM",0.05
"NV",0.065
"NY",0.085
"OH",0.05
"OK",0.045
"OR",0
"PA",0
"RI",0.07
"SC",0.05
"SD",0.04
"TN",0.06
"TX",0.0625
"UT",0.0625
"VA",0.045
"VT",0.05
"WA",0.065
"WI",0.05
"WV",0.06
"WY",0.04
